  0.00750000   0.87320691          NaN  0.654
  0.00875000   0.87320342          NaN  0.65398
  0.01000000   0.87321332          NaN  0.65396
  0.01125000   0.87317542          NaN  0.653928
  0.01250000   0.87316397          NaN  0.653897
  0.01375000   0.87318179          NaN  0.653869
  0.01500000   0.87314349          NaN  0.653831
  0.01625000   0.87313900          NaN  0.653797
  0.01750000   0.87317393          NaN  0.653774
  0.01875000   0.87310631          NaN  0.653737
  0.02000000   0.87311772          NaN  0.653724
  0.02125000   0.87312660          NaN  0.653724
  0.02250000   0.87305144          NaN  0.653724
  0.02375000   0.87306650          NaN  0.653765
  0.02500000   0.87299607          NaN  0.653815
  0.02625000   0.87292016          NaN  0.653896
  0.02750000   0.87294526          NaN  0.654033
  0.02875000   0.87289605          NaN  0.654197
  0.03000000   0.87289262          NaN  0.654415
  0.03125000   0.87274617          NaN  0.654654
  0.03250000   0.87276471          NaN  0.654981
  0.03375000   0.87258528          NaN  0.655324
  0.03500000   0.87254234          NaN  0.655757
  0.03625000   0.87244092          NaN  0.656242
  0.03750000   0.87226042          NaN  0.656778
  0.03875000   0.87218714          NaN  0.65741
  0.04000000   0.87137465          NaN  0.657932
  0.04125000   0.86959710          NaN  0.65828
  0.04250000   0.86789911          NaN  0.658732
  0.04375000   0.86627252          NaN  0.659287
  0.04500000   0.86471003          NaN  0.659942
  0.04625000   0.86320510          NaN  0.660693
  0.04750000   0.86175180          NaN  0.661538
  0.04875000   0.86034476          NaN  0.662478
  0.05000000   0.85897910          NaN  0.663516
  0.05125000   0.85765031          NaN  0.664658
  0.05250000   0.85635425          NaN  0.665907
  0.05375000   0.85508707          NaN  0.667283
  0.05500000   0.85384520          NaN  0.669097
  0.05625000   0.85262526          NaN  0.672009
  0.05750000   0.85142407          NaN  0.674076
  0.05875000   0.85023863          NaN  0.675962
  0.06000000   0.84906603          NaN  0.677964
  0.06125000   0.84790349          NaN  0.680105
  0.06250000   0.84674830          NaN  0.682391
  0.06375000   0.84559779          NaN  0.684833
  0.06500000   0.84444934          NaN  0.687443
  0.06625000   0.84330031          NaN  0.690244
  0.06750000   0.84214805          NaN  0.693293
  0.06875000   0.84098984          NaN  0.696657
  0.07000000   0.83982288          NaN  0.700262
  0.07125000   0.83864422          NaN  0.703984
  0.07250000   0.83745075          NaN  0.707879
  0.07375000   0.83623913          NaN  0.712021
  0.07500000   0.83500572          NaN  0.716457
  0.07625000   0.83374658          NaN  0.721223
  0.07750000   0.83245875          NaN  0.726345
